,2024-03-31,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Free Cash Flow,-842021000000.0,-750756000000.0,-107629000000.0,-1040783000000.0,
Repurchase Of Capital Stock,,,,,-476129000000.0
Repayment Of Debt,-8752329000000.0,-8353033000000.0,-8843665000000.0,-5416376000000.0,
Issuance Of Debt,12057349000000.0,9276918000000.0,8122678000000.0,9656216000000.0,
Capital Expenditure,-5048394000000.0,-3705832000000.0,-3830244000000.0,-3767945000000.0,
End Cash Position,9412060000000.0,7516966000000.0,6113655000000.0,5100857000000.0,
Beginning Cash Position,7516966000000.0,6113655000000.0,5100857000000.0,4098450000000.0,
Effect Of Exchange Rate Changes,189914000000.0,103305000000.0,334195000000.0,220245000000.0,
Changes In Cash,1705180000000.0,1300006000000.0,678603000000.0,782162000000.0,
Financing Cash Flow,2497558000000.0,-56180000000.0,-2466516000000.0,2739174000000.0,
Cash Flow From Continuing Financing Activities,2497558000000.0,-56181000000.0,-2466516000000.0,2739174000000.0,
Net Other Financing Charges,-97936000000.0,-60675000000.0,-51723000000.0,-36598000000.0,
Cash Dividends Paid,-880197000000.0,-727980000000.0,-709872000000.0,-625514000000.0,
Common Stock Dividend Paid,-880197000000.0,-727980000000.0,-709872000000.0,-625514000000.0,
Net Common Stock Issuance,-231069000000.0,-431099000000.0,-404718000000.0,199884000000.0,
Common Stock Payments,,,,,-476129000000.0
Net Issuance Payments Of Debt,3706760000000.0,1163574000000.0,-1300203000000.0,3201402000000.0,
Net Short Term Debt Issuance,401740000000.0,239689000000.0,-579216000000.0,-1038438000000.0,
Net Long Term Debt Issuance,3305020000000.0,923885000000.0,-720987000000.0,4239840000000.0,
Long Term Debt Payments,-8752329000000.0,-8353033000000.0,-8843665000000.0,-5416376000000.0,
Long Term Debt Issuance,12057349000000.0,9276918000000.0,8122678000000.0,9656216000000.0,
Investing Cash Flow,-4998751000000.0,-1598890000000.0,-577496000000.0,-4684175000000.0,
Cash Flow From Continuing Investing Activities,-4998751000000.0,-1598891000000.0,-577494000000.0,-4684175000000.0,
Net Other Investing Changes,-1392565000000.0,207830000000.0,1898141000000.0,-1661218000000.0,
Net Investment Purchase And Sale,-721411000000.0,183515000000.0,-225274000000.0,-667253000000.0,
Sale Of Investment,2251368000000.0,1333729000000.0,2202637000000.0,2061918000000.0,
Purchase Of Investment,-2972779000000.0,-1150214000000.0,-2427911000000.0,-2729171000000.0,
Net Business Purchase And Sale,,,,,-14763000000.0
Purchase Of Business,,,,,-14763000000.0
Net Intangibles Purchase And Sale,-334287000000.0,-348280000000.0,-346085000000.0,-278447000000.0,
Purchase Of Intangibles,-334287000000.0,-348280000000.0,-346085000000.0,-278447000000.0,
Net PPE Purchase And Sale,-2550488000000.0,-1641955000000.0,-1904278000000.0,-2077257000000.0,
Sale Of PPE,2163619000000.0,1715597000000.0,1579881000000.0,1412241000000.0,
Purchase Of PPE,-4714107000000.0,-3357552000000.0,-3484159000000.0,-3489498000000.0,
Operating Cash Flow,4206373000000.0,2955076000000.0,3722615000000.0,2727162000000.0,
Cash Flow From Continuing Operating Activities,4206374000000.0,2955075000000.0,3722617000000.0,2727161000000.0,
Taxes Refund Paid,-1124322000000.0,-1297224000000.0,-809763000000.0,-810117000000.0,
Interest Received Cfo,2292156000000.0,1516404000000.0,835739000000.0,776748000000.0,
Interest Paid Cfo,-1148392000000.0,-593216000000.0,-418043000000.0,-459181000000.0,
Dividend Received Cfo,587259000000.0,460351000000.0,347387000000.0,294520000000.0,
Change In Working Capital,-3975836000000.0,-1502482000000.0,-1130667000000.0,-1063562000000.0,
Change In Other Working Capital,-411358000000.0,-76953000000.0,-5478000000.0,-140319000000.0,
Change In Other Current Liabilities,666352000000.0,566879000000.0,470965000000.0,337478000000.0,
Change In Other Current Assets,-326365000000.0,-61538000000.0,71314000000.0,-163473000000.0,
Change In Payables And Accrued Expense,560737000000.0,712400000000.0,152399000000.0,384142000000.0,
Change In Payable,560737000000.0,712400000000.0,152399000000.0,384142000000.0,
Change In Account Payable,,,,,-76410000000.0
Change In Tax Payable,,,,,-101739000000.0
Change In Income Tax Payable,,,,,-101739000000.0
Change In Inventory,-207529000000.0,-350550000000.0,-725285000000.0,-242769000000.0,
Change In Receivables,-4257673000000.0,-2292720000000.0,-1094582000000.0,-1238621000000.0,
Changes In Account Receivables,-859239000000.0,-532432000000.0,118652000000.0,5027000000.0,
Other Non Cash Items,-713507000000.0,-694330000000.0,-354104000000.0,-236861000000.0,
Unrealized Gain Loss On Investment Securities,,,,,20082000000.0
Provisionand Write Offof Assets,,,,,142982000000.0
Deferred Tax,1893665000000.0,1175765000000.0,1115918000000.0,649976000000.0,
Deferred Income Tax,1893665000000.0,1175765000000.0,1115918000000.0,649976000000.0,
Depreciation Amortization Depletion,2087066000000.0,2039904000000.0,1821880000000.0,1644290000000.0,
Depreciation And Amortization,2087066000000.0,2039904000000.0,1821880000000.0,1644290000000.0,
Depreciation,,,,,1605383000000.0
Operating Gains Losses,-763137000000.0,-643063000000.0,-560346000000.0,-351029000000.0,
Pension And Employee Benefit Expense,,,,,15699000000.0
Earnings Losses From Equity Investments,-763137000000.0,-643063000000.0,-560346000000.0,-351029000000.0,
Gain Loss On Sale Of PPE,,,,,56913000000.0
Net Income From Continuing Operations,5071421000000.0,2492967000000.0,2874614000000.0,2282378000000.0,
