,2024-03-31,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,85610912000.0,74823680000.0,87085600000.0,23083338000.0,
Tax Rate For Calcs,0.272,0.32,0.28,0.222,
Normalized EBITDA,8802138000000.0,5522169000000.0,5533850000000.0,4515086000000.0,
Total Unusual Items,314746000000.0,233824000000.0,311020000000.0,103979000000.0,
Total Unusual Items Excluding Goodwill,314746000000.0,233824000000.0,311020000000.0,103979000000.0,
Net Income From Continuing Operation Net Minority Interest,4944933000000.0,2451318000000.0,2850110000000.0,2245261000000.0,
Reconciled Depreciation,2087066000000.0,2039904000000.0,1821880000000.0,1644290000000.0,
Reconciled Cost Of Revenue,35727007000000.0,30841282000000.0,25407834000000.0,22382220000000.0,
EBITDA,9116884000000.0,5755993000000.0,5844870000000.0,4619065000000.0,
EBIT,7029818000000.0,3716089000000.0,4022990000000.0,2974775000000.0,
Net Interest Income,516350000000.0,144928000000.0,195931000000.0,298854000000.0,
Interest Expense,64733000000.0,47356000000.0,32458000000.0,42421000000.0,
Interest Income,454688000000.0,234102000000.0,101512000000.0,105600000000.0,
Normalized Income,4715797912000.0,2292317680000.0,2626175600000.0,2164365338000.0,
Net Income From Continuing And Discontinued Operation,4944933000000.0,2451318000000.0,2850110000000.0,2245261000000.0,
Total Expenses,39742390000000.0,34429272000000.0,28383811000000.0,25016845000000.0,
Total Operating Income As Reported,5352934000000.0,2725025000000.0,2995697000000.0,2197748000000.0,
Diluted Average Shares,13512848000.0,13658382000.0,13887659000.0,14206135000.0,
Basic Average Shares,13512848000.0,13658382000.0,13887347864.0,13976440000.0,
Diluted EPS,365.94,179.47,205.23,158.934,
Basic EPS,365.94,179.47,205.23,160.646,
Diluted NI Availto Com Stockholders,4944933000000.0,2451318000000.0,2850132000000.0,2257830000000.0,
Average Dilution Earnings,0.0,0.0,23000000.0,12569000000.0,
Net Income Common Stockholders,4944933000000.0,2451318000000.0,2850110000000.0,2245261000000.0,
Otherunder Preferred Stock Dividend,,,,-12569000000.0,17284000000.0
Net Income,4944933000000.0,2451318000000.0,2850110000000.0,2245261000000.0,
Minority Interests,-126488000000.0,-41650000000.0,-24504000000.0,-37118000000.0,
Net Income Including Noncontrolling Interests,5071421000000.0,2492967000000.0,2874614000000.0,2282378000000.0,
Net Income Continuous Operations,5071421000000.0,2492967000000.0,2874614000000.0,2282378000000.0,
Earnings From Equity Interest Net Of Tax,,,,,271152000000.0
Tax Provision,1893665000000.0,1175765000000.0,1115918000000.0,649976000000.0,
Pretax Income,6965085000000.0,3668733000000.0,3990532000000.0,2932354000000.0,
Other Income Expense,1095801000000.0,798778000000.0,798905000000.0,435751000000.0,
Other Non Operating Income Expenses,17918000000.0,-78109000000.0,-72461000000.0,-19257000000.0,
Earnings From Equity Interest,763137000000.0,643063000000.0,560346000000.0,351029000000.0,
Gain On Sale Of Security,314746000000.0,233824000000.0,311020000000.0,103979000000.0,
Net Non Operating Interest Income Expense,516350000000.0,144928000000.0,195931000000.0,298854000000.0,
Total Other Finance Cost,-126395000000.0,41818000000.0,-126877000000.0,-235675000000.0,
Interest Expense Non Operating,64733000000.0,47356000000.0,32458000000.0,42421000000.0,
Interest Income Non Operating,454688000000.0,234102000000.0,101512000000.0,105600000000.0,
Operating Income,5352935000000.0,2725026000000.0,2995696000000.0,2197748000000.0,
Operating Expense,4015383000000.0,3587990000000.0,2975977000000.0,2634625000000.0,
Selling General And Administration,4015383000000.0,3587990000000.0,2975977000000.0,2634625000000.0,
Gross Profit,9368318000000.0,6313016000000.0,5971673000000.0,4832373000000.0,
Cost Of Revenue,35727007000000.0,30841282000000.0,25407834000000.0,22382220000000.0,
Total Revenue,45095325000000.0,37154298000000.0,31379507000000.0,27214593000000.0,
Operating Revenue,45095325000000.0,37154298000000.0,31379507000000.0,27214593000000.0,
